"TIPO","NUMERO","ANIO","ASUNTO","FEC_SANCION","NRO_BOLETIN","ANIO_BOLETIN","FEC_PUBLICACION_BOLETIN","FUE_ACTUALIZADA","TEXTO_VIGENTE_NORMA"
"Resolución",169,2021,"Decreto 889/2021. Derecho de Registro e Inspección y la Contribución ETuR. Exención. ANEXO I (Procedimiento). Aprobación.","09/06/2021",1215,2021,"16/06/2021","NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=174019"
"Resolución",162,2021,"Tasa General de Inmuebles y sus adicionales. Pago libre de intereses. Vencimiento. Prórroga. Secciones catastrales. Nómina.","03/06/2021",1211,2021,"07/06/2021","NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=173886"
"Resolución",147,2021,"Servicio Público de Transporte Urbano Pasajeros. Cuadro tarifario. Fijación.","30/07/2021",1237,2021,"02/08/2021","NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=176287"
"Resolución",142,2021,"Pandemia Coronavirus (COVID-19). Establecimientos comerciales. Uso de elemento papel. Autorización.","21/09/2021",1267,2021,"23/09/2021","NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=179450"
"Resolución",121,2021,"Pandemia Coronavirus (COVID-19). Clubes, complejos deportivos y establecimientos afines. Funcionamiento. Horario. Disposición.","07/09/2021",1258,2021,"08/09/2021","NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=178686"
"Resolución",120,2021,"Pandemia Coronavirus (COVID-19). Comercios. Rubros varios. Funcionamiento. Franja horaria. Aforo  máximo. Disposición.","04/09/2021",1256,2021,"06/09/2021","NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=178579"
"Resolución",110,2021,"Pandemia Coronavirus (COVID-19). Gimnasios, natatorios, clubes y establecimientos afines. Uso de vestuarios. Medidas. Disposición.","30/08/2021",1254,2021,"01/09/2021","NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=178355"
"Resolución",103,2021,"Pandemia Coronavirus (COVID-19). Comercios. Rubros varios. Funcionamiento. Franja horaria. Aforo  máximo. Disposición.","21/08/2021",1250,2021,"24/08/2021","NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=177774"
"Resolución",102,2021,"Pandemia Coronavirus (COVID-19). Resolución del Ministerio de Educación de la Provincia de Santa Fe Nº 939/2021. Adhesión.","21/08/2021",1250,2021,"24/08/2021","NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=177771"
"Resolución",99,2021,"Decreto Nº 381/21 . Disposición material existente predio ex Zona Franca de Bolivia. Plazos. Cómputo. Presentación. Requisitos.","18/08/2021",1248,2021,"20/08/2021","NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=177613"
"Resolución",98,2021,"Pandemia Coronavirus (COVID-19). Aforo. Jardines de infantes particulares. Disposición.","12/08/2021",1245,2021,"13/08/2021","NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=177289"
"Resolución",97,2021,"Pandemia Coronavirus (COVID-19). Locales gastronómicos, kioscos y comercios minoristas de proximidad de alimentos, higiene personal y limpieza. Horarios de funcionamiento. Disposición.","09/08/2021",1244,2021,"12/08/2021","NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=177122"
"Resolución",95,2021,"Pandemia Coronavirus (COVID-19). Salones de fiestas, salones de fiestas infantiles y similares. Factor de ocupación. Disposición.","30/07/2021",1237,2021,"02/08/2021","NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=176299"
"Resolución",94,2021,"Pandemia Coronavirus (COVID-19). Locales gastronómicos artículo 4º Decreto Provincial 1220/21. Días y horarios de funcionamiento. Disposición.","23/07/2021",1233,2021,"27/07/2021","NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=175914"
"Resolución",82,2021,"Pandemia Coronavirus (COVID-19). Locales gastronómicos. Días y horarios de funcionamiento. Disposición.","02/07/2021",1224,2021,"05/07/2021","NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=174809"
"Resolución",72,2021,"Pandemia Coronavirus (COVID-19). Actividades varias. Horario funcionamiento. Extensión.","31/05/2021",1209,2021,"01/06/2021","NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=173636"
