_category,_link_col,NUMERO,ANIO,PUBLICACION,CANTIDAD_NORMAS,LINK,TIPO,ASUNTO,FEC_SANCION,NRO_BOLETIN,ANIO_BOLETIN,FEC_PUBLICACION_BOLETIN,FUE_ACTUALIZADA,TEXTO_VIGENTE_NORMA,FEC_PROMULGACION
ordenanzas,TEXTO_VIGENTE_NORMA,10906,2026,,,,Ordenanza,"""Plaza Gran Ducado de Luxemburgo"". Designación.",07/05/2026,2045,2026,05/06/2026,NO,https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=262795,15/05/2026
ordenanzas,TEXTO_VIGENTE_NORMA,10905,2026,,,,Ordenanza,"Estudios de Costos. Tarifas de Servicios Públicos del Transporte Urbano de Pasajeros, Taxis y Remises.  Obligatoriedad de publicación. Disposición.",23/04/2026,2043,2026,03/06/2026,NO,https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=262448,11/05/2026
ordenanzas,TEXTO_VIGENTE_NORMA,10904,2026,,,,Ordenanza,"Venta de bolsitas, sobres o dispositivos de uso oral, que contengan nicotina. Comercialización, restricciones y controles. Régimen aplicable.",23/04/2026,2041,2026,28/05/2026,NO,https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=262312,19/05/2026
ordenanzas,TEXTO_VIGENTE_NORMA,10901,2026,,,,Ordenanza,Ordenanza Nº 10.114. Modificación.,09/04/2026,2037,2026,19/05/2026,NO,https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=261723,21/04/2026
ordenanzas,TEXTO_VIGENTE_NORMA,6730,1998,,,,Ordenanza,"Urbanización Barrio ""La Cerámica"" - Cooperativa de Vivienda, Crédito y Consumo ""Lealtad"". Aprobación.",03/12/1998,,,,NO,https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=262416,23/12/1998
ordenanzas,TEXTO_VIGENTE_NORMA,6729,1998,,,,Ordenanza,Propiedad en calle Ovidio Lagos. Arzobispado de Rosario. Uso. Otorgamiento.,03/12/1998,,,,NO,https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=262418,
ordenanzas,TEXTO_VIGENTE_NORMA,6728,1998,,,,Ordenanza,"Programa Anual ""Los Libros en los Espacios Públicos de mi Ciudad"". Creación.",03/12/1998,,,,NO,https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=262420,16/12/1998
ordenanzas,TEXTO_VIGENTE_NORMA,6726,1998,,,,Ordenanza,Calle Esteban de Luca. Creación.,03/12/1998,,,,NO,https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=262421,
ordenanzas,TEXTO_VIGENTE_NORMA,6725,1998,,,,Ordenanza,Ordenanza N° 6506. Modificación.,03/12/1998,,,,NO,https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=262422,
ordenanzas,TEXTO_VIGENTE_NORMA,6724,1998,,,,Ordenanza,Régimen especial de regularización. Deudas por Tasa General de Inmuebles. Establecimiento.,03/12/1998,,,,NO,https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=262424,
